date_time,volume,price,pct
09:18:20,2110,11.2,
09:19:59,2280,11.25,0.05
09:22:12,3300,11.25,0.05
09:22:34,2750,11.25,0.05
09:22:42,4450,11.25,0.05
09:24:27,5550,11.25,0.05
09:24:28,1300,11.25,0.05
09:24:57,2000,11.25,0.05
09:33:58,10000,11.2,
09:34:10,1810,11.2,
09:40:34,4000,11.2,
09:53:10,1160,11.2,
10:09:22,1150,11.25,0.05
10:20:12,5000,11.2,
10:30:46,1280,11.2,
10:32:30,5000,11.2,
10:40:05,2320,11.2,
10:54:34,1500,11.2,
10:57:38,2200,11.2,
11:21:43,2000,11.15,-0.05
11:25:50,1050,11.2,
13:00:24,4400,11.15,-0.05
13:23:38,1020,11.2,
14:05:13,3000,11.2,
14:21:06,1800,11.2,
14:25:22,1770,11.2,
14:45:01,4500,11.2,
